0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:34 +0500] "OPTIONS /VIM/api/auth/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:37 +0500] "POST /VIM/api/auth/login HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:37 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:37 +0500] "OPTIONS /VIM/admin-dashboard?startDate=2026-01-25T19:00:00.000Z&endDate=2026-01-27T18:59:59.999Z HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:38 +0500] "GET /VIM/admin-dashboard?startDate=2026-01-25T19:00:00.000Z&endDate=2026-01-27T18:59:59.999Z HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:38 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:38 +0500] "OPTIONS /VIM/allMenu HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:38 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:45 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:45 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:45 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:48 +0500] "OPTIONS /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:45:48 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:54:30 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:54:30 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:13:54:30 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
